nome,especie
AFGHAN HOUND,Canino
AIRDALE TERRIER,Canino
AKITA,Canino
AMERICAN BULLY,Canino
AMERICAN STAFFORDSHIRE TERRIER,Canino
AUSTRALIAN CATTLE DOG (BLUE OU RED HEELER),Canino
AUSTRALIAN TERRIER,Canino
BASENJI,Canino
BASSET HOUND,Canino
BEAGLE,Canino
BEAUCERON,Canino
BERNESE,Canino
BICHON FRISE,Canino
BIEWER TERRIER,Canino
BLOODHOUND,Canino
BLUE HEELER,Canino
BORDER COLLIE,Canino
BORZOI,Canino
BOSTON TERRIER,Canino
BOUVIER DE FLANDRES,Canino
BOXER,Canino
BRACO ALEMAO,Canino
BRIARD,Canino
BULL TERRIER,Canino
BULLDOG,Canino
BULLDOG AMERICANO,Canino
BULLDOG FRANCES,Canino
BULLDOG INGLES,Canino
BULLMASTIFF,Canino
CAIRN TERRIER,Canino
CANE CORSO,Canino
CAO D'AGUA PORTUGUES,Canino
CAO DE CRISTA CHINES,Canino
CAVALIER KING CHARLES SPANIEL,Canino
CHIHUAHUA,Canino
CHOW CHOW,Canino
COCKER SPANIEL,Canino
COCKER SPANIEL AMERICANO,Canino
COCKER SPANIEL INGLES,Canino
COLLIE,Canino
COTON DE TULEAR,Canino
CURLY COATED RETRIEVER,Canino
DACHSHUND,Canino
DALMATA,Canino
DOBERMANN,Canino
DOGO ARGENTINO,Canino
DOGUE ALEMÃO,Canino
DOGUE DE BORDEAUX,Canino
ELKHOUND,Canino
FILA BRASILEIRO,Canino
FLAT COATED RETRIEVER,Canino
FOX PAULISTINHA,Canino
FOX TERRIER,Canino
GALGO,Canino
GOLDEN RETRIEVER,Canino
GREYHOUND ITALIANO,Canino
GRIFFON DE BRUXELAS,Canino
HUSKY SIBERIANO,Canino
IRISH TERRIER,Canino
IRISH WOLFHOUND,Canino
JACK RUSSEL,Canino
KELPIE AUSTRALIANO,Canino
KERRY BLUE TERRIER,Canino
KING CHARLES CAVALIER,Canino
KUVASZ,Canino
LABRADOR RETRIEVER,Canino
LEONBERGER,Canino
LHASA APSO,Canino
LULU DA POMERANIA,Canino
MALAMUTE DO ALASCA,Canino
MALTES,Canino
MASTIFF,Canino
MASTIM NAPOLITANO,Canino
NORFOLK TERRIER,Canino
NORWICH TERRIER,Canino
OLD ENGLISH SHEEPDOG,Canino
PAPILLON,Canino
PASTOR ALEMÃO,Canino
PASTOR BELGA,Canino
PASTOR BELGA MALINOIS,Canino
PASTOR BRANCO,Canino
PASTOR CANADENSE,Canino
PASTOR DE SHETLAND,Canino
PASTOR DOS PIRINEUS,Canino
PASTOR HOLANDES,Canino
PASTOR SUICO,Canino
PEQUINES,Canino
PERDIGUEIRO,Canino
PINSCHER,Canino
PIT BULL,Canino
PODENGO PORTUGUES,Canino
POINTER,Canino
POINTER ALEMÃO,Canino
POINTER INGLÊS,Canino
POODLE,Canino
POODLE TOY,Canino
PUG,Canino
PULI,Canino
RHODESIAN RIDGEBACK,Canino
ROTTWEILER,Canino
SALUKI,Canino
SAMOYEDA,Canino
SÃƒO BERNARDO,Canino
SCHIPPERKE,Canino
SCHNAUZER,Canino
SCOTTISH,Canino
SETTER,Canino
SETTER GORDON,Canino
SETTER INGLÊS,Canino
SETTER IRLANDES,Canino
SHARPEI,Canino
SHIBA INU,Canino
SHIH -TZU,Canino
SKYE TERRIER,Canino
SPITZ ALEMÃO,Canino
SPRINGER,Canino
SPRINGER SPANIEL ALEMÃO,Canino
SPRINGER SPANIEL INGLÊS,Canino
SRD - Canino,Canino
TECKEL,Canino
TERRA NOVA,Canino
TERRIER  BRASILEIRO,Canino
TERRIER TIBETANO,Canino
TIBETAN TERRIER,Canino
VIZSLA,Canino
WEIMARANER,Canino
WELSH CORGI PEMBROKE,Canino
WELSH TERRIER,Canino
WEST HIGHLAND TERRIER,Canino
WHIPETT,Canino
YORKSHIRE,Canino
ABISSINIO,Felino
ANGORA,Felino
AUSTRALIAN TIFFANY,Felino
BALINES,Felino
BENGAL,Felino
BOBTAIL AMERICANO,Felino
BOBTAIL JAPONÊS,Felino
BOMBAY,Felino
BRITISH,Felino
BURMES,Felino
BURMILA,Felino
CHARTREUX,Felino
CHAUSIE,Felino
COLORPOINT,Felino
CORNISH REX,Felino
CURL AMERICANO,Felino
CYMRIC,Felino
CYPRUS,Felino
DEVON REX,Felino
DONSKOY,Felino
DRAGON LI,Felino
EGEU,Felino
ENGLISH SHORT HAIR,Felino
HAVANA,Felino
HIMALAIO,Felino
JAVANES,Felino
KHAO MANEE,Felino
KORAT,Felino
KURILIAN,Felino
LAPERM,Felino
LEVKOY,Felino
LYKOI,Felino
MAINE COON,Felino
MANX,Felino
MAU ARABE,Felino
MAU EGIPCIO,Felino
MIST AUSTRALIANO,Felino
MUNCHKIN,Felino
NEBELUNG,Felino
NORUEGUES DA FLORESTA,Felino
OCICAT,Felino
ORIENTAL,Felino
PELO CURTO AMERICANO,Felino
PELO CURTO BRASILEIRO,Felino
PELO CURTO INGLÊS,Felino
PELO LONGO BRASILEIRO,Felino
PERSA,Felino
PETERBALD,Felino
PIXIE BOB,Felino
RAAS,Felino
RAGAMUFFIN,Felino
RAGDOLL,Felino
RED POINT,Felino
RUSSIAN BLUE,Felino
SAGRADO DA BIRMANIA,Felino
SAVANNAH,Felino
SCOTTISH FOLD,Felino
SELKIRK REX,Felino
SERENGETI,Felino
SIAMÃŠS,Felino
SIBERIANO,Felino
SINGAPURA,Felino
SNOWSHOE,Felino
SOKOKE,Felino
SOMALI,Felino
SPHYNX,Felino
SRD - Felino,Felino
SUPHALAK,Felino
THAI,Felino
TONQUINES,Felino
TOYGER,Felino
USURI,Felino
VAN TURCO,Felino
WIREHAIR AMERICANO,Felino
American Saddlebred,Equino
Andaluz,Equino
Anglo-Árabe,Equino
Bretão,Equino
Goldfish,Peixe
Tetras,Peixe
Neon Chinês,Peixe
Betta,Peixe
Palhaço,Peixe
Coral Beauty,Peixe
